UTM180920201,UTM180920202
560651.702495153,8760423.5340484
560651.901551546,8760423.68894788
560651.913328835,8760423.80126099
560651.929399249,8760423.91378186
560651.8021779,8760424.052891
560651.828441614,8760424.1770795
560652.053784629,8760424.3667741
560652.202425462,8760424.40749061
560652.470734276,8760424.46517289
560652.685344333,8760424.65434819
560652.85274152,8760424.79654134
560652.961125563,8760424.86883262
560652.976667896,8760424.94780501
560653.023329589,8760425.05063209
560653.063551588,8760425.15314752
560653.146188424,8760425.17949548
560653.284635856,8760425.20854449
560653.606068956,8760425.27997237
560653.819048482,8760425.54728916
560654.270882136,8760425.63620255
560654.421106529,8760425.77756481
560654.723220387,8760425.84805799
560655.157143808,8760426.70713264
560655.484969459,8760426.95765946
560655.567547796,8760427.20749106
560656.002161554,8760427.47436074
560656.293507055,8760427.67842494
560656.500081016,8760427.81134042
560656.569791447,8760428.01585205
560656.804293985,8760428.06072478
560657.094008783,8760428.34293046
560657.386421315,8760428.5693952
560657.750772721,8760428.68759872
560658.022306122,8760428.72308968
560658.255729325,8760428.79025909
560658.471968286,8760428.90129408
560658.775125008,8760429.08358193
560659.070270408,8760429.12021597
560659.301511513,8760429.32137177
560659.537561613,8760429.60098061
560659.719947765,8760429.87799205
560659.906650601,8760430.06581792
560660.150266632,8760430.14465537
560660.377777563,8760430.24506198
560660.540352274,8760430.35349987
560660.702399215,8760430.42838928
560660.830640902,8760430.49046812
560660.967468786,8760430.55296258
560661.04418132,8760430.65724456
560661.240045299,8760430.70024793
560661.355407621,8760430.76170343
560661.537313042,8760430.82637985
560661.776623831,8760430.94970652
560661.894648461,8760431.08951116
560662.06096451,8760431.25400195
560662.143576944,8760431.36974389
560662.268604601,8760431.40931868
560662.395203408,8760431.59423568
560662.321633379,8760431.780638
560662.44987485,8760431.84271702
560662.425699324,8760431.94211569
560662.452513307,8760432.01045951
560662.25554649,8760432.07914574
560662.341396557,8760432.1279985
560662.42079504,8760432.22123627
560662.486234976,8760432.33614702
560662.643448827,8760432.42197708
560662.853235192,8760432.57739781
560662.952444377,8760432.83920933
560663.044158527,8760433.03361214
560663.140165741,8760433.22822277
560663.222754012,8760433.43335818
560663.324145477,8760433.56118354
560663.402452565,8760433.72141446
560663.446414884,8760433.87998293
560663.510235738,8760434.02833833
560663.56601002,8760434.16512992
560663.660973727,8760434.2479469
560663.776875232,8760434.29825442
560663.931414555,8760434.35043224
560664.111688423,8760434.49325032
560664.319855338,8760434.6821159
560664.518896369,8760434.88171409
560664.640122089,8760435.0887199
560664.709830702,8760435.29323197
560664.75000327,8760435.57453457
560664.846525585,8760435.84739052
560664.945218457,8760436.030957
560665.110466159,8760436.17304789
560665.188245224,8760436.29973042
560665.238682954,8760436.32452058
560665.293929324,8760436.42776375
560665.422709816,8760436.47869487
560665.500512934,8760436.51598402
560665.582621187,8760436.5087843
560665.656682922,8760436.49002076
560665.685151739,8760436.39082997
560665.685187913,8760436.25673988
560665.73242391,8760436.21432915
560666.087094822,8760436.39911255
560666.712205741,8760436.68638199
560667.272895909,8760437.05992783
560667.552522322,8760436.92819791
560667.606197987,8760436.88609899
560667.637341034,8760436.82056065
560667.642749841,8760436.66438198
560667.729151187,8760436.65739022
560667.92496548,8760436.87918144
560667.987682003,8760437.13922686
560668.010081025,8760437.65432995
560668.176862124,8760438.07585353
560668.301203361,8760438.66293749
560668.237740659,8760439.17388411
560668.211333107,8760439.58605564
560668.367981644,8760439.77242801
560668.802697942,8760439.63703185
560669.075222788,8760439.9631057
560668.983290763,8760440.573243
560668.977305505,8760440.87465994
560668.891898478,8760441.17223211
560669.031853134,8760441.57010854
560669.068761914,8760442.00769385
560669.040183127,8760442.50915484
560669.417323143,8760442.94086211
560669.877625659,8760443.43246706
560670.287502733,8760443.85458512
560670.338860186,8760444.43813616
560670.566821575,8760444.84027331
560670.756685015,8760445.22939181
560670.908977974,8760445.63904015
560670.916913885,8760446.05287428
560670.937741209,8760446.42263522
560670.802877952,8760447.03069405
560670.981505458,8760447.29635111
560671.37644123,8760447.40486523
560671.705901818,8760447.53255833
560671.714904499,8760447.96879277
560671.818354121,8760448.40959961
560672.06026043,8760448.83476085
560672.307061009,8760449.0254983
560672.59947816,8760449.2072699
560672.892434947,8760449.37789338
560673.146766668,8760449.50194966
560673.336715121,8760449.57819167
560673.504621483,8760449.79863279
560673.796535738,8760449.85746278
560673.972426322,8760450.31295132
560674.280923202,8760450.56254778
560674.587273442,8760450.81204039
560674.877530897,8760451.0384053
560675.180127607,8760451.27654201
560675.241824407,8760451.3354007
560675.422646653,8760451.42237553
560675.606155136,8760451.49830611
560675.805768705,8760451.55266781
560676.00538226,8760451.60702955
560676.199623265,8760451.68347985
560676.391730223,8760451.71512955
